src_ip,dst_ip,src_port,dst_port,protocol,packet_size
424,461,443,51352,6,1464
461,424,51352,443,6,54
461,306,51321,443,6,1494
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
306,461,443,51321,6,54
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
461,424,51352,443,6,66
461,424,51352,443,6,66
461,306,51321,443,6,1494
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
461,424,51352,443,6,66
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
461,424,51352,443,6,54
461,424,51352,443,6,54
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
306,461,443,51321,6,66
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
461,306,51321,443,6,1494
461,424,51352,443,6,54
424,461,443,51352,6,1464
424,461,443,51352,6,1464
461,424,51352,443,6,54
424,461,443,51352,6,1464
424,461,443,51352,6,1464
461,424,51352,443,6,54
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
461,424,51352,443,6,54
424,461,443,51352,6,1464
424,461,443,51352,6,1464
461,424,51352,443,6,54
424,461,443,51352,6,1464
424,461,443,51352,6,1464
461,424,51352,443,6,54
424,461,443,51352,6,1464
306,461,443,51321,6,66
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,424,51352,443,6,54
424,461,443,51352,6,1464
424,461,443,51352,6,1464
461,424,51352,443,6,54
424,461,443,51352,6,1464
424,461,443,51352,6,1464
461,424,51352,443,6,54
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
461,424,51352,443,6,54
424,461,443,51352,6,1464
461,424,51352,443,6,54
424,461,443,51352,6,1464
424,461,443,51352,6,1464
461,424,51352,443,6,54
424,461,443,51352,6,1464
424,461,443,51352,6,1464
306,461,443,51321,6,66
424,461,443,51352,6,1464
424,461,443,51352,6,1464
461,306,51321,443,6,1494
461,424,51352,443,6,54
424,461,443,51352,6,1464
424,461,443,51352,6,1464
461,424,51352,443,6,54
424,461,443,51352,6,1464
306,461,443,51321,6,54
424,461,443,51352,6,1464
424,461,443,51352,6,1464
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,424,51352,443,6,54
424,461,443,51352,6,1464
424,461,443,51352,6,1464
461,424,51352,443,6,54
424,461,443,51352,6,1464
461,424,51352,443,6,54
424,461,443,51352,6,1464
306,461,443,51321,6,54
461,306,51321,443,6,1494
424,461,443,51352,6,1464
424,461,443,51352,6,1464
461,424,51352,443,6,54
424,461,443,51352,6,1464
424,461,443,51352,6,1464
461,424,51352,443,6,54
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,1464
424,461,443,51352,6,127
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,54
461,424,51352,443,6,54
461,306,51321,443,6,1034
306,461,443,51321,6,156
461,306,51321,443,6,89
306,461,443,51321,6,54
461,306,51321,443,6,176
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,424,51352,443,6,55
424,461,443,51352,6,66
306,461,443,51321,6,66
306,461,443,51321,6,66
306,461,443,51321,6,66
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
306,461,443,51321,6,74
306,461,443,51321,6,74
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
306,461,443,51321,6,82
306,461,443,51321,6,82
306,461,443,51321,6,82
306,461,443,51321,6,82
461,306,51321,443,6,1494
461,306,51321,443,6,176
461,306,51321,443,6,1372
461,306,51321,443,6,176
461,306,51321,443,6,1494
306,461,443,51321,6,74
306,461,443,51321,6,66
306,461,443,51321,6,66
306,461,443,51321,6,54
306,461,443,51321,6,54
461,306,51321,443,6,1365
306,461,443,51321,6,154
461,306,51321,443,6,54
461,424,51352,443,6,55
424,461,443,51352,6,66
461,306,51321,443,6,178
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,54
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,808
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,89
461,306,51321,443,6,54
461,424,51352,443,6,55
306,461,443,51321,6,148
424,461,443,51352,6,66
461,306,51321,443,6,54
461,424,51352,443,6,55
424,461,443,51352,6,66
461,424,51352,443,6,54
424,461,443,51352,6,54
461,424,51352,443,6,54
461,306,51321,443,6,536
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1429
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,153
461,306,51321,443,6,89
306,461,443,51321,6,54
461,306,51321,443,6,172
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,315
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,152
461,306,51321,443,6,54
461,306,51321,443,6,172
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1198
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,148
461,306,51321,443,6,54
461,306,51321,443,6,166
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1198
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,152
461,306,51321,443,6,89
306,461,443,51321,6,54
461,306,51321,443,6,167
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,315
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,148
461,306,51321,443,6,54
0,225,0,0,2,46
0,225,0,0,2,46
0,225,0,0,2,46
461,999,0,0,2,46
360,461,443,51318,6,79
461,360,51318,443,6,83
360,461,443,51318,6,54
461,306,51321,443,6,172
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,872
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,148
461,306,51321,443,6,54
461,319,51344,443,6,93
319,461,443,51344,6,93
461,319,51344,443,6,54
461,534,50850,27032,6,113
534,461,27032,50850,6,54
461,306,51321,443,6,167
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1429
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,153
461,306,51321,443,6,89
306,461,443,51321,6,54
461,327,50853,443,6,90
327,461,443,50853,6,54
461,362,0,0,17,92
461,362,0,0,17,92
461,306,51321,443,6,167
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,872
362,461,0,0,17,215
362,461,0,0,17,259
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,148
461,306,51321,443,6,54
461,475,0,0,2,46
461,306,51321,443,6,166
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,315
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,152
461,306,51321,443,6,54
461,476,0,0,2,46
461,306,51321,443,6,166
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,315
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,89
461,306,51321,443,6,54
306,461,443,51321,6,148
461,306,51321,443,6,89
306,461,443,51321,6,54
461,306,51321,443,6,167
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,872
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,148
461,306,51321,443,6,54
461,306,51321,443,6,167
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1198
306,461,443,51321,6,54
306,461,443,51321,6,148
461,306,51321,443,6,54
461,94,51314,443,6,55
94,461,443,51314,6,66
461,306,51321,443,6,167
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,872
306,461,443,51321,6,66
306,461,443,51321,6,66
306,461,443,51321,6,66
306,461,443,51321,6,66
306,461,443,51321,6,66
306,461,443,51321,6,66
461,306,51321,443,6,1494
306,461,443,51321,6,66
306,461,443,51321,6,153
461,306,51321,443,6,89
306,461,443,51321,6,54
477,461,443,50844,6,78
461,477,50844,443,6,82
477,461,443,50844,6,54
461,306,51321,443,6,173
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,546
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,152
461,306,51321,443,6,54
461,306,51321,443,6,167
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1198
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,152
461,306,51321,443,6,54
461,362,0,0,17,94
461,362,0,0,17,94
362,461,0,0,17,126
362,461,0,0,17,126
461,306,51321,443,6,167
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,872
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,148
461,306,51321,443,6,89
306,461,443,51321,6,54
461,306,51321,443,6,166
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,315
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,152
461,306,51321,443,6,54
461,201,51245,443,6,93
201,461,443,51245,6,54
201,461,443,51245,6,93
461,201,51245,443,6,54
461,306,51321,443,6,166
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,315
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,148
461,306,51321,443,6,54
461,306,51321,443,6,167
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1198
461,534,50850,27032,6,113
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,148
534,461,27032,50850,6,54
461,306,51321,443,6,89
306,461,443,51321,6,54
461,306,51321,443,6,167
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,315
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,89
461,306,51321,443,6,54
306,461,443,51321,6,148
461,306,51321,443,6,54
461,362,0,0,17,88
362,461,0,0,17,466
461,641,51357,443,6,66
363,475,0,0,17,152
363,246,0,0,2,54
641,461,443,51357,6,66
461,641,51357,443,6,54
461,641,51357,443,6,604
461,306,51321,443,6,173
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1103
641,461,443,51357,6,1506
641,461,443,51357,6,1506
641,461,443,51357,6,1506
641,461,443,51357,6,113
461,641,51357,443,6,54
461,641,51357,443,6,134
461,641,51357,443,6,692
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,148
461,306,51321,443,6,54
363,475,0,0,17,152
641,461,443,51357,6,157
641,461,443,51357,6,54
641,461,443,51357,6,384
641,461,443,51357,6,81
461,641,51357,443,6,54
461,306,51321,443,6,167
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,315
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,153
461,306,51321,443,6,89
306,461,443,51321,6,54
461,306,51321,443,6,166
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,315
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,152
461,306,51321,443,6,54
368,999,0,0,17,313
368,999,0,0,17,301
368,999,0,0,17,381
368,999,0,0,17,373
461,306,51321,443,6,167
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,872
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,148
461,306,51321,443,6,54
461,306,51321,443,6,167
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1198
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,148
461,306,51321,443,6,89
306,461,443,51321,6,54
461,306,51321,443,6,167
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,315
461,327,50853,443,6,90
306,461,443,51321,6,66
306,461,443,51321,6,74
306,461,443,51321,6,74
306,461,443,51321,6,74
461,306,51321,443,6,1494
461,306,51321,443,6,1494
327,461,443,50853,6,54
306,461,443,51321,6,74
306,461,443,51321,6,54
306,461,443,51321,6,153
461,306,51321,443,6,54
461,306,51321,443,6,167
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,872
461,306,51321,443,6,1494
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,153
461,306,51321,443,6,54
306,461,443,51321,6,66
306,461,443,51321,6,153
461,306,51321,443,6,66
461,306,51321,443,6,166
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,315
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,152
461,306,51321,443,6,89
306,461,443,51321,6,54
461,306,51321,443,6,167
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,315
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,54
306,461,443,51321,6,153
461,306,51321,443,6,54
461,306,51321,443,6,167
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
461,306,51321,443,6,1494
